positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob,minSalary,maxSalary,maxCompanySize,companyScale
Python爬虫开发工程师,1-3年,大专,全职,不需要融资,"数据服务,企业服务",艾瑞集团,北京,15k-30k,朝阳区,2018-07-12,[],150-500人,开发|测试|运维类,数据开发,0,15.0,30.0,500,中型企业
python(爬虫方向)工程师(J11045),1-3年,大专,全职,C轮,教育,传智播客,北京,10k-20k,昌平区,2018-07-03,[],500-2000人,开发/测试/运维类,后端开发,0,10.0,20.0,2000,大型企业
Python开发工程师,1-3年,大专,全职,不需要融资,游戏,智水互娱,北京,20k-40k,东城区,2018-07-19,"['Java', '对日']",15-50人,开发/测试/运维类,后端开发,0,20.0,40.0,50,小型企业
Python工程师,1-3年,大专,全职,B轮,数据服务,好巧,北京,15k-25k,朝阳区,2018-07-19,['Java'],150-500人,开发/测试/运维类,后端开发,0,15.0,25.0,500,中型企业
Python,1-3年,大专,全职,不需要融资,移动互联网,武汉佰钧成技术有限公司,北京,10k-15k,朝阳区,2018-07-18,"['GO', 'Cisco', '交换机']",2000人以上,开发/测试/运维类,后端开发,0,10.0,15.0,2000,大型企业
python开发工程师,1-3年,大专,全职,未融资,移动互联网,壕鑫互联,北京,15k-25k,海淀区,2018-07-16,"['高级', '中级', '架构师', '爬虫', '服务器端']",50-150人,开发/测试/运维类,后端开发,0,15.0,25.0,150,小型企业
爬虫工程师,1-3年,大专,全职,不需要融资,教育、移动互联网,世纪超星,北京,5k-6k,海淀区,2018-07-19,"['数据挖掘', 'Java', 'python']",2000人以上,开发/测试/运维类,数据开发,0,5.0,6.0,2000,大型企业
Python高级开发,1-3年,大专,全职,A轮,"移动互联网,教育",音悦荚,北京,15k-30k,昌平区,2018-07-12,"['资深', '后端开发', '数据分析', '服务器端']",15-50人,开发/测试/运维类,后端开发,0,15.0,30.0,50,小型企业
python开发工程师,1-3年,大专,全职,不需要融资,移动互联网,币信,北京,15k-30k,海淀区,2018-07-19,"['高级', 'php']",50-150人,开发/测试/运维类,软件开发,0,15.0,30.0,150,小型企业
python开发工程师,1-3年,大专,全职,天使轮,"移动互联网,文化娱乐",时阅文学,北京,10k-20k,通州区,2018-07-06,"['php', 'Java']",50-150人,开发/测试/运维类,后端开发,0,10.0,20.0,150,小型企业
python系统开发,1-3年,大专,全职,A轮,"移动互联网,金融",信链科技,北京,10k-20k,朝阳区,2018-07-18,"['金融', '软件开发', '配置管理', '企业软件', 'ERP', 'CRM']",150-500人,开发/测试/运维类,软件开发,0,10.0,20.0,500,中型企业
Python开发工程师,1-3年,大专,全职,天使轮,"移动互联网,金融",云量科技,北京,10k-15k,朝阳区,2018-06-19,"['金融', 'MySQL', '数据库', '量化']",15-50人,开发/测试/运维类,后端开发,0,10.0,15.0,50,小型企业
爬虫工程师,1-3年,大专,全职,天使轮,"金融,数据服务",比特智盈,北京,15k-25k,东城区,2018-07-16,"['中级', 'Java', '大数据']",15-50人,开发/测试/运维类,后端开发,0,15.0,25.0,50,小型企业
网络爬虫工程师,1-3年,大专,全职,A轮,"移动互联网,企业服务",互融时代,北京,15k-20k,朝阳区,2018-07-10,"['资深', '高级', '软件开发', '大数据', '数据挖掘']",150-500人,开发/测试/运维类,软件开发,0,15.0,20.0,500,中型企业
python研发工程师(J11045),1-3年,大专,全职,C轮,教育,传智播客,北京,10k-20k,昌平区,2018-06-29,"['爬虫', 'Java']",500-2000人,开发/测试/运维类,后端开发,0,10.0,20.0,2000,大型企业
服务器运维及爬虫工程师,1-3年,大专,全职,未融资,招聘,中汇法通,北京,7k-14k,朝阳区,2018-06-27,"['信息安全', '大数据', 'linux', '数据库', '系统工程师']",15-50人,开发/测试/运维类,运维安全,0,7.0,14.0,50,小型企业
爬虫工程师（JAVA）,1-3年,大专,全职,未融资,"信息安全,数据服务",中胜信用,北京,10k-15k,朝阳区,2018-06-29,"['数据挖掘', '大数据', '架构', 'python']",50-150人,开发/测试/运维类,数据开发,0,10.0,15.0,150,小型企业
Python爬虫工程师,1-3年,本科,全职,不需要融资,移动互联网,NewsJet,北京,20k-40k,海淀区,2018-07-19,"['算法', '数据挖掘', 'NLP']",50-150人,开发/测试/运维类,数据开发,0,20.0,40.0,150,小型企业
python爬虫工程师,1-3年,本科,全职,未融资,"移动互联网,文化娱乐",艺富,北京,10k-18k,昌平区,2018-07-19,['后端开发'],15-50人,开发|测试|运维类,后端开发,0,10.0,18.0,50,小型企业
python 爬虫开发工程师,1-3年,本科,全职,A轮,移动互联网,有路网,北京,10k-20k,朝阳区,2018-07-17,['Java'],50-150人,开发/测试/运维类,后端开发,0,10.0,20.0,150,小型企业
Python爬虫工程师,1-3年,本科,全职,A轮,数据服务,造数,北京,15k-30k,朝阳区,2018-07-17,"['大数据', 'Java']",15-50人,开发/测试/运维类,后端开发,0,15.0,30.0,50,小型企业
python爬虫工程师,1-3年,本科,全职,B轮,教育、移动互联网,极课大数据,北京,10k-16k,朝阳区,2018-07-17,"['高级', '中级', 'Java']",150-500人,开发/测试/运维类,后端开发,0,10.0,16.0,500,中型企业
Python开发工程师,1-3年,本科,全职,B轮,"移动互联网,金融",老虎证券,北京,20k-40k,朝阳区,2018-07-18,"['php', 'Java']",150-500人,开发/测试/运维类,后端开发,0,20.0,40.0,500,中型企业
Python开发工程师,1-3年,本科,全职,不需要融资,移动互联网,iHandy,北京,15k-30k,海淀区,2018-07-19,"['移动互联网', '服务器端', 'php', 'django']",150-500人,开发/测试/运维类,后端开发,0,15.0,30.0,500,中型企业
Python研发工程师,1-3年,本科,全职,A轮,"移动互联网,硬件",库神,北京,16k-32k,海淀区,2018-07-19,[],50-150人,开发|测试|运维类,后端开发,0,16.0,32.0,150,小型企业
Python工程师,1-3年,本科,全职,C轮,"移动互联网,硬件",Face++,北京,20k-40k,海淀区,2018-07-19,"['中级', '后端', 'django']",500-2000人,开发/测试/运维类,后端开发,0,20.0,40.0,2000,大型企业
